"Date","Open","High","Low","Close","Adj.Close","Volume"
2021-04-01,2532,2564.550049,2532,2551.75,2473.075195,1219588
2021-04-02,NA,NA,NA,2551.75,NA,NA
2021-04-03,NA,NA,NA,2551.75,NA,NA
2021-04-04,NA,NA,NA,2551.75,NA,NA
2021-04-05,2558,2558,2484.5,2510.649902,2433.242188,1268939
2021-04-06,2526,2620,2504.5,2611.600098,2531.079834,3372846
2021-04-07,2605,2668.050049,2600.100098,2628.600098,2547.555664,1937977
2021-04-08,2630,2658.399902,2628,2650.649902,2568.926025,897483
2021-04-09,2635,2655,2610.149902,2630.800049,2549.6875,1185017
2021-04-10,NA,NA,NA,2630.800049,NA,NA
2021-04-11,NA,NA,NA,2630.800049,NA,NA
2021-04-12,2578.199951,2610,2555,2602.199951,2521.969971,1427691
2021-04-13,2600,2626,2564.300049,2570.699951,2491.440918,1200230
2021-04-14,NA,NA,NA,2570.699951,NA,NA
2021-04-15,2590,2593.550049,2537,2587.699951,2507.916992,1209829
2021-04-16,2587.600098,2693.5,2581.699951,2663.699951,2581.57373,2760777
2021-04-17,NA,NA,NA,2663.699951,NA,NA
2021-04-18,NA,NA,NA,2663.699951,NA,NA
2021-04-19,2650,2650,2566.850098,2571.899902,2492.60376,1552036
2021-04-20,2600,2604.699951,2528.800049,2553.649902,2474.91626,1489287
2021-04-21,NA,NA,NA,2553.649902,NA,NA
2021-04-22,2555.649902,2557,2488,2511.25,2433.82373,1690758
2021-04-23,2527.100098,2565,2496.199951,2517.949951,2440.317383,1614593
2021-04-24,NA,NA,NA,2517.949951,NA,NA
2021-04-25,NA,NA,NA,2517.949951,NA,NA
2021-04-26,2530,2575,2530,2557.899902,2479.0354,1103980
2021-04-27,2545,2579.899902,2534,2574.350098,2494.97876,866331
2021-04-28,2588,2620.25,2575,2614.550049,2533.938721,1065561
2021-04-29,2630,2642,2570,2613.449951,2532.872803,1295346
2021-04-30,2595,2605.800049,2524.050049,2536.399902,2458.198486,1384907
2021-05-01,NA,NA,NA,2536.399902,NA,NA
2021-05-02,NA,NA,NA,2536.399902,NA,NA
2021-05-03,2510,2595.100098,2505.600098,2582.149902,2502.537842,1034774
